target,source,value,source (FR),target (FR),color
BIO_JETFUEL,BIOETHANOL_TO_BIOJETFUELS,14268.554525350593,Conversion du bioéthanol en carburant aviation,BIO_JETFUEL,#000000
BIOETHANOL_TO_BIOJETFUELS,BIO_ETHANOL,25027.04463746494,Bioéthanol,Conversion du bioéthanol en carburant aviation,#000000
GASOLINE,CO2_TO_DIESEL,487.16418799397405,Conversion du CO2 en diesel,Essence,#808080
DIESEL,CO2_TO_DIESEL,1255.5778041081805,Conversion du CO2 en diesel,Diesel,#D3D3D3
BIO_JETFUEL,CO2_TO_JETFUELS,1895.399941400528,Conversion du CO2 en carburant aviation,BIO_JETFUEL,#545454
HEAT_LOW_T,HP,28235.22675000007,Thermopompe,Chaleur (basse température),#B51F1F
HEAT_LOW_T,HP,29721.291315788894,Thermopompe,Chaleur (basse température),#B51F1F
HEAT_HIGH_T,GASIFICATION_H2,4139.021573512294,Production d'hydrogène par gazéification du bois,Chaleur (haute température),#B51F1F
CARBON_CAPTURE,HEAT_HIGH_T,26188.199954101918,Chaleur (haute température),Captage de CO2 en postcombustion,#B51F1F
BIO_ETHANOL,IMP_BIO_ETHANOL,25040.577524855442,Importations de bio-éthanol,Bioéthanol,#000000
DIESEL,IMP_DIESEL,9931.828579477406,Importations de diesel,Diesel,#D3D3D3
JETFUEL,IMP_JETFUEL,1987.9999999999995,Importations de carburant aviation,Carburant aviation,#000000
METHANOL,IMP_METHANOL,7799.326253218775,Importations de méthanol,Méthanol,#A5DA00
HEAT_HIGH_T,BOILER,1929.6799379966255,Chaudière,Chaleur (haute température),#B51F1F
HEAT_HIGH_T,BOILER,46892.06477048942,Chaudière,Chaleur (haute température),#B51F1F
HEAT_HIGH_T,DIRECT_ELEC,122705.83167210361,Électricité directe,Chaleur (haute température),#B51F1F
HYDRO_DAM,RES_HYDRO,127918.533528,Potentiel hydraulique,Barrages hydroélectriques existants,#00CED1
HYDRO_RIVER,RES_HYDRO,73573.19568,Potentiel hydraulique,Hydroélectricité au fil de l'eau existante,#00CED1
NEW_HYDRO_DAM,RES_HYDRO,41038.5458915566,Potentiel hydraulique,Nouveaux barrages hydroélectriques,#000000
