target,source,value,source (FR),target (FR),color
BIO_JETFUEL,BIOETHANOL_TO_BIOJETFUELS,11730.485720388278,Conversion du bioéthanol en carburant aviation,Biocarburant d'aviation,#000000
BIOETHANOL_TO_BIOJETFUELS,BIO_ETHANOL,20575.271953561038,Bioéthanol,Conversion du bioéthanol en carburant aviation,#000000
GASOLINE,CO2_TO_DIESEL,565.860342543692,Conversion du CO2 en diesel,Essence,#808080
DIESEL,CO2_TO_DIESEL,1458.4029447002372,Conversion du CO2 en diesel,Diesel,#D3D3D3
BIO_JETFUEL,CO2_TO_JETFUELS,1895.3999414005275,Conversion du CO2 en carburant aviation,Biocarburant d'aviation,#545454
HEAT_LOW_T,BOILER,7.692307692307631e-10,Chaudière,Chaleur (basse température),#B51F1F
HEAT_LOW_T,COGEN,7.692307692308922e-10,Cogénération,Chaleur (basse température),#B51F1F
HEAT_LOW_T,DIRECT_ELEC,1.3375617865505543e-07,Électricité directe,Chaleur (basse température),#B51F1F
HEAT_LOW_T,HP,69033.43640858913,Thermopompe,Chaleur (basse température),#B51F1F
HEAT_LOW_T,BOILER,7.424636661015686e-05,Chaudière,Chaleur (basse température),#B51F1F
HEAT_LOW_T,BOILER,97.8261867453324,Chaudière,Chaleur (basse température),#B51F1F
HEAT_LOW_T,COGEN,7.692307692304687e-10,Cogénération,Chaleur (basse température),#B51F1F
HEAT_LOW_T,HP,4560.564046715409,Thermopompe,Chaleur (basse température),#B51F1F
BIO_DIESEL,FT,2310.7069910586615,Production de biodiesel par synthèse Fischer-Tropsch,Biodiesel,#6B8E23
HEAT_LOW_T,FT,912.7292614681713,Production de biodiesel par synthèse Fischer-Tropsch,Chaleur (basse température),#B51F1F
HEAT_HIGH_T,GASIFICATION_H2,3026.8865780552233,Production d'hydrogène par gazéification du bois,Chaleur (haute température),#B51F1F
HEAT_HIGH_T,GASIFICATION_SNG,2.6283594396385968e-05,Production de gaz naturel synthétique par gazéification du bois,Chaleur (haute température),#B51F1F
CARBON_CAPTURE,HEAT_HIGH_T,19279.882484128426,Chaleur (haute température),Captage de CO2 en postcombustion,#B51F1F
DAC_LT,HEAT_LOW_T,2.0938461538451807e-09,Chaleur (basse température),Captage direct à basse température,#B51F1F
LT_DHN_WH,HEAT_LOW_T,7.69230769227504e-10,Chaleur (basse température),Chaleur perdue basse température du réseau de chaleur urbain,#B51F1F
BIO_ETHANOL,IMP_BIO_ETHANOL,20593.32326486496,Importations de bio-éthanol,Bioéthanol,#000000
GASOLINE,IMP_GASOLINE,7.692062471798358e-10,Importations d'essence,Essence,#808080
JETFUEL,IMP_JETFUEL,1987.9999999999998,Importations de carburant aviation,Carburant aviation,#000000
METHANOL,IMP_METHANOL,2122.6088520000008,Importations de méthanol,Méthanol,#A5DA00
HEAT_HIGH_T,BOILER,1929.6799379966255,Chaudière,Chaleur (haute température),#B51F1F
HEAT_HIGH_T,BOILER,45836.426381087615,Chaudière,Chaleur (haute température),#B51F1F
HEAT_HIGH_T,DIRECT_ELEC,32277.88956116542,Électricité directe,Chaleur (haute température),#B51F1F
HEAT_WASTE,LT_DHN_WH,7.69230769227504e-10,Chaleur perdue basse température du réseau de chaleur urbain,Chaleur résiduelle,#B51F1F
HYDRO_RIVER,RES_HYDRO,73573.19568,Potentiel hydraulique,Hydroélectricité au fil de l'eau existante,#00CED1
HYDRO_DAM,RES_HYDRO,127918.533528,Potentiel hydraulique,Barrages hydroélectriques existants,#00CED1
NEW_WIND_ONSHORE,RES_WIND_ONSHORE,9868.135931164565,Potentiel éolien terrestre,Nouvelles éoliennes terrestres,#FFA500
BOILER,WASTE,2332.0,Déchets organiques et papier,Chaudière,#FA8072
CO2_TO_JETFUELS,WET_BIOMASS,6469.0,Déchets de biomasse humide,Conversion du CO2 en carburant aviation,#545454
FT,WOOD,4341.818436199224,Bois résiduel,Production de biodiesel par synthèse Fischer-Tropsch,#CD853F
GASIFICATION_H2,WOOD,17131.337229965327,Bois résiduel,Production d'hydrogène par gazéification du bois,#CD853F
GASIFICATION_SNG,WOOD,0.00010959609885653532,Bois résiduel,Production de gaz naturel synthétique par gazéification du bois,#CD853F
BOILER,WOOD,112.40782588796147,Bois résiduel,Chaudière,#CD853F
BOILER,WOOD,52532.43639835142,Bois résiduel,Chaudière,#CD853F
EUD_ELECTRICITY_EHV_EXPORT,ELECTRICITY,21333.0,Électricité,Exportation d'électricité très haute tension,#00BFFF
EUD_HEAT_LOW_T_SC,ELECTRICITY,6973.9434634233,Électricité,Demande en froid (climatisation),#B51F1F
EUD_LIGHTING,ELECTRICITY,25399.1332006876,Électricité,Demande en électricité pour l'éclairage,#00BFFF
EUD_HEAT_HIGH_T,HEAT_HIGH_T,63791.0,Chaleur (haute température),Demande en chaleur haute température,#B51F1F
EUD_HEAT_LOW_T_HW,HEAT_LOW_T,12177.0,Chaleur (basse température),Demande en chaleur basse température (eau chaude),#B51F1F
EUD_HEAT_LOW_T_SH,HEAT_LOW_T,62149.0,Chaleur (basse température),Demande en chaleur basse température (chauffage),#B51F1F
HOUSEHOLDS,EUD_HEAT_LOW_T_SC,3408.9434634233003,Demande en froid (climatisation),Résidentiel,#B51F1F
SERVICES,EUD_HEAT_LOW_T_SC,3565.0,Demande en froid (climatisation),Services,#B51F1F
AGRICULTURE,EUD_LIGHTING,149.0,Demande en électricité pour l'éclairage,Agriculture,#00BFFF
HOUSEHOLDS,EUD_LIGHTING,5894.133200687601,Demande en électricité pour l'éclairage,Résidentiel,#00BFFF
INDUSTRY,EUD_LIGHTING,4913.0,Demande en électricité pour l'éclairage,Industrie,#00BFFF
SERVICES,EUD_LIGHTING,14443.0,Demande en électricité pour l'éclairage,Services,#00BFFF
INDUSTRY,EUD_HEAT_HIGH_T,62512.0,Demande en chaleur haute température,Industrie,#B51F1F
SERVICES,EUD_HEAT_HIGH_T,1279.0,Demande en chaleur haute température,Services,#B51F1F
AGRICULTURE,EUD_HEAT_LOW_T_HW,219.0,Demande en chaleur basse température (eau chaude),Agriculture,#B51F1F
HOUSEHOLDS,EUD_HEAT_LOW_T_HW,7989.0,Demande en chaleur basse température (eau chaude),Résidentiel,#B51F1F
INDUSTRY,EUD_HEAT_LOW_T_HW,520.0,Demande en chaleur basse température (eau chaude),Industrie,#B51F1F
SERVICES,EUD_HEAT_LOW_T_HW,3449.0,Demande en chaleur basse température (eau chaude),Services,#B51F1F
AGRICULTURE,EUD_HEAT_LOW_T_SH,1972.0,Demande en chaleur basse température (chauffage),Agriculture,#B51F1F
HOUSEHOLDS,EUD_HEAT_LOW_T_SH,32551.0,Demande en chaleur basse température (chauffage),Résidentiel,#B51F1F
INDUSTRY,EUD_HEAT_LOW_T_SH,2720.0,Demande en chaleur basse température (chauffage),Industrie,#B51F1F
SERVICES,EUD_HEAT_LOW_T_SH,24906.0,Demande en chaleur basse température (chauffage),Services,#B51F1F
MOBILITY_PASSENGER,BUS,380.280791235836,Autobus,Mobilité des personnes,#000000
MOBILITY_PASSENGER,CAR,6610.847942787055,Voiture,Mobilité des personnes,#000000
MOBILITY_PASSENGER,COACH,50.889859688958694,Autocar,Mobilité des personnes,#000000
MOBILITY_PASSENGER,COMMUTER,118.59527392479995,Train de banlieue,Mobilité des personnes,#000000
MOBILITY_FREIGHT,LCV,4613.4344867389445,Véhicule utilitaire léger,Mobilité des marchandises,#000000
MOBILITY_FREIGHT,PLANE,205.59649320000113,Avion,Mobilité des marchandises,#000000
MOBILITY_PASSENGER,PLANE,15408.289168588808,Avion,Mobilité des personnes,#000000
MOBILITY_PASSENGER,SCHOOLBUS,152.74100292283106,Autobus scolaire,Mobilité des personnes,#000000
MOBILITY_FREIGHT,SEMI,5167.148631130429,Semi-remorque,Mobilité des marchandises,#000000
MOBILITY_FREIGHT,SHIP,2122.6088520000008,Navire,Mobilité des marchandises,#000000
MOBILITY_FREIGHT,TRAIN,1629.5083467524423,Train,Mobilité des marchandises,#000000
MOBILITY_PASSENGER,TRAIN,3.236694917927462,Train,Mobilité des personnes,#000000
BUS,GASOLINE,380.280791235836,Essence,Autobus,#808080
CAR,GASOLINE,1.334439566458771e-10,Essence,Voiture,#808080
COACH,BIO_ETHANOL,1.7589376588318248,Bioéthanol,Autocar,#000000
COACH,GASOLINE,49.13092203012687,Essence,Autocar,#808080
PLANE,BIO_JETFUEL,13625.885661788809,Biocarburant d'aviation,Avion,#000000
PLANE,JETFUEL,1988.0000000000007,Carburant aviation,Avion,#000000
SCHOOLBUS,BIO_ETHANOL,16.292373645101982,Bioéthanol,Autobus scolaire,#000000
SCHOOLBUS,GASOLINE,136.44862927772908,Essence,Autobus scolaire,#808080
SEMI,BIO_DIESEL,2310.7069910586615,Biodiesel,Semi-remorque,#6B8E23
SEMI,DIESEL,1458.4029447001171,Diesel,Semi-remorque,#D3D3D3
SHIP,METHANOL,2122.6088520000008,Méthanol,Navire,#A5DA00
ELECTRICITY,COGEN,7.384615384613007e-10,Cogénération,Électricité,#00BFFF
ELECTRICITY,COGEN,9.615384615377682e-10,Cogénération,Électricité,#00BFFF
DIRECT_ELEC,ELECTRICITY,32277.88956116542,Électricité,Électricité directe,#00BFFF
CARBON_TRANSPORT_INJECTION,ELECTRICITY,2818.8333900858006,Électricité,Transport et injection de CO2,#00BFFF
CARBON_CAPTURE,ELECTRICITY,2617.25217533278,Électricité,Captage de CO2 en postcombustion,#00BFFF
DIRECT_ELEC,ELECTRICITY,1.3375617865505543e-07,Électricité,Électricité directe,#00BFFF
HP,ELECTRICITY,27613.374563435653,Électricité,Thermopompe,#00BFFF
DAC_LT,ELECTRICITY,2.1153846153830824e-10,Électricité,Captage direct à basse température,#00BFFF
GASIFICATION_H2,ELECTRICITY,977.4321241636659,Électricité,Production d'hydrogène par gazéification du bois,#00BFFF
HP,ELECTRICITY,1303.0182990615453,Électricité,Thermopompe,#00BFFF
FT,ELECTRICITY,9.242827964234646,Électricité,Production de biodiesel par synthèse Fischer-Tropsch,#00BFFF
ELECTRICITY,HYDRO_DAM,127918.533528,Barrages hydroélectriques existants,Électricité,#00BFFF
ELECTRICITY,HYDRO_RIVER,73573.19568,Hydroélectricité au fil de l'eau existante,Électricité,#00BFFF
ELECTRICITY,IMP_ELECTRICITY_EHV,33889.0,Importations d'électricité,Électricité,#00BFFF
ELECTRICITY,NEW_WIND_ONSHORE,9868.135931164565,Nouvelles éoliennes terrestres,Électricité,#00BFFF
ELECTRICITY,OCGT_BIOGAS_LARGE,7.692307692308922e-10,Turbine à biogaz à cycle ouvert 243 MW,Électricité,#00BFFF
ELECTRICITY,OCGT_BIOGAS_SMALL,2.60519180957536e-08,Turbine à biogaz à cycle ouvert 100 MW,Électricité,#00BFFF
EUD_ELECTRICITY_EHV,ELECTRICITY,5955.0,Électricité,Demande en électricité très haute tension,#00BFFF
EUD_ELECTRICITY_HV,ELECTRICITY,61316.0,Électricité,Demande en électricité haute tension,#00BFFF
EUD_ELECTRICITY_LV,ELECTRICITY,23221.0,Électricité,Demande en électricité basse tension,#00BFFF
EUD_ELECTRICITY_MV,ELECTRICITY,17508.0,Électricité,Demande en électricité moyenne tension,#00BFFF
INDUSTRY,EUD_ELECTRICITY_EHV,5955.0,Demande en électricité très haute tension,Industrie,#00BFFF
INDUSTRY,EUD_ELECTRICITY_HV,61316.0,Demande en électricité haute tension,Industrie,#00BFFF
HOUSEHOLDS,EUD_ELECTRICITY_LV,9741.0,Demande en électricité basse tension,Résidentiel,#00BFFF
SERVICES,EUD_ELECTRICITY_LV,13480.0,Demande en électricité basse tension,Services,#00BFFF
AGRICULTURE,EUD_ELECTRICITY_MV,3578.0,Demande en électricité moyenne tension,Agriculture,#00BFFF
INDUSTRY,EUD_ELECTRICITY_MV,9702.0,Demande en électricité moyenne tension,Industrie,#00BFFF
SERVICES,EUD_ELECTRICITY_MV,4228.0,Demande en électricité moyenne tension,Services,#00BFFF
